trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
1,False,"{'a': 0.5, 'e': 0.95}",20,0,-98.22300650295796,"{0: 12, 1: 1, 2: 6, 3: 0, 4: 1}",0
2,False,"{'a': 0.5, 'e': 0.8999999999999999}",25,6,-17.591750787487587,"{0: 16, 1: 1, 2: 1, 3: 1, 4: 0}",1
3,False,"{'a': 0.5, 'e': 0.8499999999999999}",30,0,-220.5244705947962,"{0: 16, 1: 4, 2: 6, 3: 0, 4: 4}",0
4,False,"{'a': 0.5, 'e': 0.7999999999999998}",25,0,-43.66590090146705,"{0: 16, 1: 6, 2: 3, 3: 0, 4: 0}",0
5,False,"{'a': 0.5, 'e': 0.7499999999999998}",25,15,-45.16394695110427,"{0: 7, 1: 0, 2: 2, 3: 0, 4: 1}",1
6,False,"{'a': 0.5, 'e': 0.6999999999999997}",25,18,9.8905456619378,"{0: 7, 1: 0, 2: 0, 3: 0, 4: 0}",1
7,False,"{'a': 0.5, 'e': 0.6499999999999997}",25,0,-60.97619401841074,"{0: 17, 1: 1, 2: 6, 3: 1, 4: 0}",0
8,False,"{'a': 0.5, 'e': 0.5999999999999996}",25,0,-133.68504723848307,"{0: 14, 1: 6, 2: 2, 3: 1, 4: 2}",0
9,False,"{'a': 0.5, 'e': 0.5499999999999996}",20,0,-93.91843861877362,"{0: 13, 1: 5, 2: 0, 3: 0, 4: 2}",0
10,False,"{'a': 0.5, 'e': 0.4999999999999996}",20,0,-129.32919476819671,"{0: 9, 1: 6, 2: 3, 3: 0, 4: 2}",0
11,False,"{'a': 0.5, 'e': 0.4499999999999996}",25,0,-107.75551451097539,"{0: 20, 1: 1, 2: 1, 3: 0, 4: 3}",0
12,False,"{'a': 0.5, 'e': 0.39999999999999963}",25,0,-35.61735869600698,"{0: 21, 1: 3, 2: 0, 3: 0, 4: 1}",0
13,False,"{'a': 0.5, 'e': 0.34999999999999964}",20,0,-24.45440003873021,"{0: 16, 1: 2, 2: 1, 3: 1, 4: 0}",0
14,False,"{'a': 0.5, 'e': 0.29999999999999966}",20,15,-0.3472995272938315,"{0: 4, 1: 1, 2: 0, 3: 0, 4: 0}",1
15,False,"{'a': 0.5, 'e': 0.24999999999999967}",25,0,-49.34559453111762,"{0: 21, 1: 1, 2: 1, 3: 1, 4: 1}",0
16,False,"{'a': 0.5, 'e': 0.19999999999999968}",20,0,23.186821903977357,"{0: 20, 1: 0, 2: 0, 3: 0, 4: 0}",0
17,False,"{'a': 0.5, 'e': 0.1499999999999997}",20,0,-73.34362717297282,"{0: 17, 1: 0, 2: 0, 3: 1, 4: 2}",0
18,False,"{'a': 0.5, 'e': 0.09999999999999969}",20,4,-43.802277853487155,"{0: 13, 1: 0, 2: 2, 3: 0, 4: 1}",1
19,False,"{'a': 0.5, 'e': 0.049999999999999684}",20,5,20.315526832130644,"{0: 15, 1: 0, 2: 0, 3: 0, 4: 0}",1
20,False,"{'a': 0.5, 'e': -3.191891195797325e-16}",30,14,0.2229443300457059,"{0: 14, 1: 0, 2: 2, 3: 0, 4: 0}",1
1,True,"{'a': 0, 'e': 0}",25,7,14.083835088766273,"{0: 16, 1: 2, 2: 0, 3: 0, 4: 0}",1
2,True,"{'a': 0, 'e': 0}",20,0,10.345942801102952,"{0: 18, 1: 1, 2: 1, 3: 0, 4: 0}",0
3,True,"{'a': 0, 'e': 0}",30,0,-129.76736591988566,"{0: 25, 1: 0, 2: 0, 3: 2, 4: 3}",0
4,True,"{'a': 0, 'e': 0}",20,0,-66.83051622489319,"{0: 16, 1: 1, 2: 0, 3: 2, 4: 1}",0
5,True,"{'a': 0, 'e': 0}",20,0,-67.45072184271716,"{0: 17, 1: 1, 2: 0, 3: 0, 4: 2}",0
6,True,"{'a': 0, 'e': 0}",30,0,-149.44089458998985,"{0: 24, 1: 1, 2: 1, 3: 0, 4: 4}",0
7,True,"{'a': 0, 'e': 0}",20,3,8.422485999030695,"{0: 16, 1: 0, 2: 1, 3: 0, 4: 0}",1
8,True,"{'a': 0, 'e': 0}",20,0,2.118679209375505,"{0: 17, 1: 2, 2: 1, 3: 0, 4: 0}",0
9,True,"{'a': 0, 'e': 0}",25,0,-51.50742307276275,"{0: 22, 1: 0, 2: 0, 3: 2, 4: 1}",0
10,True,"{'a': 0, 'e': 0}",20,0,-33.81975314912466,"{0: 16, 1: 2, 2: 0, 3: 2, 4: 0}",0
