trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
1,False,"{'a': 0.2, 'e': 0.95}",25,-100,-688.8995208294164,"{0: 79, 1: 10, 2: 21, 3: 3, 4: 12}",0
2,False,"{'a': 0.2, 'e': 0.9025}",20,-46,-387.23699271468655,"{0: 40, 1: 4, 2: 15, 3: 0, 4: 7}",0
3,False,"{'a': 0.2, 'e': 0.8573749999999999}",20,-80,-537.4142259770863,"{0: 58, 1: 12, 2: 20, 3: 2, 4: 8}",0
4,False,"{'a': 0.2, 'e': 0.8145062499999999}",20,-3,-154.55927025579655,"{0: 13, 1: 2, 2: 5, 3: 0, 4: 3}",0
5,False,"{'a': 0.2, 'e': 0.7737809374999998}",20,3,-88.75156026005227,"{0: 12, 1: 1, 2: 2, 3: 0, 4: 2}",1
6,False,"{'a': 0.2, 'e': 0.7350918906249998}",20,12,-22.166012271241428,"{0: 5, 1: 0, 2: 3, 3: 0, 4: 0}",1
7,False,"{'a': 0.2, 'e': 0.6983372960937497}",20,-22,-171.6720198749004,"{0: 26, 1: 1, 2: 12, 3: 2, 4: 1}",0
8,False,"{'a': 0.2, 'e': 0.6634204312890623}",30,-13,-93.530069435931,"{0: 32, 1: 5, 2: 4, 3: 0, 4: 2}",0
9,False,"{'a': 0.2, 'e': 0.6302494097246091}",20,-100,-260.5814798726422,"{0: 88, 1: 12, 2: 15, 3: 1, 4: 4}",0
10,False,"{'a': 0.2, 'e': 0.5987369392383787}",25,16,-14.628939965143305,"{0: 6, 1: 1, 2: 2, 3: 0, 4: 0}",1
11,False,"{'a': 0.2, 'e': 0.5688000922764597}",25,6,-30.419176227161202,"{0: 15, 1: 0, 2: 3, 3: 1, 4: 0}",1
12,False,"{'a': 0.2, 'e': 0.5403600876626367}",30,-47,-112.32394797339592,"{0: 63, 1: 5, 2: 5, 3: 1, 4: 3}",0
13,False,"{'a': 0.2, 'e': 0.5133420832795048}",25,-5,-138.57539543480442,"{0: 21, 1: 2, 2: 3, 3: 1, 4: 3}",0
14,False,"{'a': 0.2, 'e': 0.48767497911552954}",20,-38,-252.26180022958698,"{0: 43, 1: 0, 2: 8, 3: 2, 4: 5}",0
15,False,"{'a': 0.2, 'e': 0.46329123015975304}",25,11,-9.56210520169971,"{0: 11, 1: 0, 2: 3, 3: 0, 4: 0}",1
16,False,"{'a': 0.2, 'e': 0.44012666865176536}",30,-12,-66.40725079796488,"{0: 35, 1: 4, 2: 0, 3: 1, 4: 2}",0
17,False,"{'a': 0.2, 'e': 0.4181203352191771}",20,-6,-93.23151944263036,"{0: 19, 1: 3, 2: 1, 3: 1, 4: 2}",0
18,False,"{'a': 0.2, 'e': 0.3972143184582182}",30,-6,-167.28552941987158,"{0: 26, 1: 3, 2: 3, 3: 0, 4: 4}",0
19,False,"{'a': 0.2, 'e': 0.37735360253530725}",20,-18,-128.98422582134722,"{0: 26, 1: 4, 2: 5, 3: 1, 4: 2}",0
20,False,"{'a': 0.2, 'e': 0.3584859224085419}",35,-42,-49.1576658868996,"{0: 66, 1: 3, 2: 6, 3: 0, 4: 2}",0
21,False,"{'a': 0.2, 'e': 0.3405616262881148}",20,5,-28.571751853668093,"{0: 13, 1: 0, 2: 1, 3: 0, 4: 1}",1
22,False,"{'a': 0.2, 'e': 0.323533544973709}",30,-8,-60.43622573830331,"{0: 29, 1: 2, 2: 6, 3: 0, 4: 1}",0
23,False,"{'a': 0.2, 'e': 0.3073568677250236}",25,-5,8.455453201483582,"{0: 27, 1: 2, 2: 0, 3: 1, 4: 0}",0
24,False,"{'a': 0.2, 'e': 0.2919890243387724}",20,9,-17.680940350652815,"{0: 7, 1: 2, 2: 2, 3: 0, 4: 0}",1
25,False,"{'a': 0.2, 'e': 0.27738957312183377}",30,4,2.275352307891829,"{0: 22, 1: 2, 2: 2, 3: 0, 4: 0}",1
26,False,"{'a': 0.2, 'e': 0.26352009446574204}",20,-20,2.9563361216995223,"{0: 34, 1: 2, 2: 4, 3: 0, 4: 0}",0
27,False,"{'a': 0.2, 'e': 0.2503440897424549}",25,-10,-65.89467925596122,"{0: 29, 1: 1, 2: 3, 3: 0, 4: 2}",0
28,False,"{'a': 0.2, 'e': 0.23782688525533216}",20,-2,-48.28985183415942,"{0: 18, 1: 1, 2: 1, 3: 1, 4: 1}",0
29,False,"{'a': 0.2, 'e': 0.22593554099256555}",25,-8,34.63563726400177,"{0: 31, 1: 1, 2: 1, 3: 0, 4: 0}",0
30,False,"{'a': 0.2, 'e': 0.21463876394293727}",25,19,8.780345274949132,"{0: 6, 1: 0, 2: 0, 3: 0, 4: 0}",1
31,False,"{'a': 0.2, 'e': 0.2039068257457904}",30,18,16.208694877275956,"{0: 12, 1: 0, 2: 0, 3: 0, 4: 0}",1
32,False,"{'a': 0.2, 'e': 0.19371148445850087}",30,-8,-46.49919041539811,"{0: 33, 1: 2, 2: 1, 3: 0, 4: 2}",0
33,False,"{'a': 0.2, 'e': 0.18402591023557582}",25,8,-40.53818902221759,"{0: 14, 1: 0, 2: 2, 3: 0, 4: 1}",1
34,False,"{'a': 0.2, 'e': 0.174824614723797}",25,-3,-53.23285717759187,"{0: 25, 1: 0, 2: 0, 3: 1, 4: 2}",0
35,False,"{'a': 0.2, 'e': 0.16608338398760716}",25,19,11.86569965828823,"{0: 6, 1: 0, 2: 0, 3: 0, 4: 0}",1
36,False,"{'a': 0.2, 'e': 0.1577792147882268}",20,-3,-2.9410819660886576,"{0: 20, 1: 0, 2: 2, 3: 1, 4: 0}",0
37,False,"{'a': 0.2, 'e': 0.14989025404881545}",20,-8,4.872967556904037,"{0: 24, 1: 2, 2: 2, 3: 0, 4: 0}",0
38,False,"{'a': 0.2, 'e': 0.14239574134637467}",35,10,-17.83482602812213,"{0: 22, 1: 2, 2: 0, 3: 0, 4: 1}",1
39,False,"{'a': 0.2, 'e': 0.13527595427905592}",25,9,14.636070767307045,"{0: 15, 1: 0, 2: 1, 3: 0, 4: 0}",1
40,False,"{'a': 0.2, 'e': 0.12851215656510312}",20,-15,1.8596238778582972,"{0: 32, 1: 1, 2: 1, 3: 0, 4: 1}",0
41,False,"{'a': 0.2, 'e': 0.12208654873684796}",25,-7,-10.482469776086292,"{0: 30, 1: 0, 2: 1, 3: 0, 4: 1}",0
42,False,"{'a': 0.2, 'e': 0.11598222130000556}",20,5,-17.51666299734851,"{0: 14, 1: 0, 2: 0, 3: 0, 4: 1}",1
43,False,"{'a': 0.2, 'e': 0.11018311023500528}",20,6,18.40983138138032,"{0: 14, 1: 0, 2: 0, 3: 0, 4: 0}",1
44,False,"{'a': 0.2, 'e': 0.10467395472325501}",20,2,-24.87996073045095,"{0: 16, 1: 0, 2: 1, 3: 0, 4: 1}",1
45,False,"{'a': 0.2, 'e': 0.09944025698709225}",20,11,-28.327573038181598,"{0: 8, 1: 0, 2: 0, 3: 0, 4: 1}",1
46,False,"{'a': 0.2, 'e': 0.09446824413773763}",25,11,13.13118026237888,"{0: 13, 1: 1, 2: 0, 3: 0, 4: 0}",1
47,False,"{'a': 0.2, 'e': 0.08974483193085075}",30,18,18.869320218554748,"{0: 12, 1: 0, 2: 0, 3: 0, 4: 0}",1
48,False,"{'a': 0.2, 'e': 0.0852575903343082}",25,15,17.91247630798339,"{0: 10, 1: 0, 2: 0, 3: 0, 4: 0}",1
49,False,"{'a': 0.2, 'e': 0.0809947108175928}",25,2,22.57831078262809,"{0: 22, 1: 0, 2: 1, 3: 0, 4: 0}",1
50,False,"{'a': 0.2, 'e': 0.07694497527671315}",20,1,11.535682980383818,"{0: 17, 1: 1, 2: 1, 3: 0, 4: 0}",1
51,False,"{'a': 0.2, 'e': 0.07309772651287749}",25,1,22.753589091213993,"{0: 22, 1: 1, 2: 1, 3: 0, 4: 0}",1
52,False,"{'a': 0.2, 'e': 0.06944284018723361}",20,-1,-18.28860823552356,"{0: 19, 1: 0, 2: 1, 3: 0, 4: 1}",1
53,False,"{'a': 0.2, 'e': 0.06597069817787193}",25,9,28.86237796033016,"{0: 16, 1: 0, 2: 0, 3: 0, 4: 0}",1
54,False,"{'a': 0.2, 'e': 0.06267216326897833}",20,-9,-7.145922636625837,"{0: 27, 1: 0, 2: 1, 3: 0, 4: 1}",0
55,False,"{'a': 0.2, 'e': 0.05953855510552941}",20,5,27.73750202817111,"{0: 15, 1: 0, 2: 0, 3: 0, 4: 0}",1
56,False,"{'a': 0.2, 'e': 0.056561627350252934}",20,0,-47.86752077816321,"{0: 18, 1: 0, 2: 0, 3: 0, 4: 2}",1
57,False,"{'a': 0.2, 'e': 0.053733545982740286}",20,-2,-18.539499380193046,"{0: 20, 1: 0, 2: 1, 3: 0, 4: 1}",0
58,False,"{'a': 0.2, 'e': 0.051046868683603266}",25,-4,8.58630366657548,"{0: 28, 1: 0, 2: 0, 3: 0, 4: 1}",0
59,False,"{'a': 0.2, 'e': 0.048494525249423104}",20,4,-33.859643756014506,"{0: 13, 1: 2, 2: 0, 3: 0, 4: 1}",1
60,False,"{'a': 0.2, 'e': 0.046069798986951946}",25,11,4.387004290587145,"{0: 13, 1: 0, 2: 0, 3: 1, 4: 0}",1
61,False,"{'a': 0.2, 'e': 0.043766309037604346}",30,15,26.862854929929302,"{0: 15, 1: 0, 2: 0, 3: 0, 4: 0}",1
62,False,"{'a': 0.2, 'e': 0.04157799358572413}",20,0,-6.191873650552035,"{0: 19, 1: 0, 2: 0, 3: 0, 4: 1}",1
63,False,"{'a': 0.2, 'e': 0.03949909390643792}",25,-22,67.47042913411187,"{0: 46, 1: 0, 2: 1, 3: 0, 4: 0}",0
64,False,"{'a': 0.2, 'e': 0.03752413921111602}",20,-24,31.518908390006835,"{0: 41, 1: 1, 2: 1, 3: 1, 4: 0}",0
65,False,"{'a': 0.2, 'e': 0.03564793225056022}",20,7,24.497626103905223,"{0: 13, 1: 0, 2: 0, 3: 0, 4: 0}",1
66,False,"{'a': 0.2, 'e': 0.033865535638032206}",20,-5,40.705194496842545,"{0: 24, 1: 1, 2: 0, 3: 0, 4: 0}",0
67,False,"{'a': 0.2, 'e': 0.03217225885613059}",25,8,19.01318108986903,"{0: 16, 1: 0, 2: 1, 3: 0, 4: 0}",1
68,False,"{'a': 0.2, 'e': 0.030563645913324063}",25,3,41.24636268065084,"{0: 22, 1: 0, 2: 0, 3: 0, 4: 0}",1
69,False,"{'a': 0.2, 'e': 0.02903546361765786}",30,-53,71.89163637609226,"{0: 81, 1: 0, 2: 1, 3: 0, 4: 1}",0
70,False,"{'a': 0.2, 'e': 0.027583690436774964}",30,20,13.203063466441483,"{0: 10, 1: 0, 2: 0, 3: 0, 4: 0}",1
71,False,"{'a': 0.2, 'e': 0.026204505914936217}",20,9,19.77677773559205,"{0: 11, 1: 0, 2: 0, 3: 0, 4: 0}",1
72,False,"{'a': 0.2, 'e': 0.024894280619189402}",20,8,19.289652084475296,"{0: 12, 1: 0, 2: 0, 3: 0, 4: 0}",1
73,False,"{'a': 0.2, 'e': 0.023649566588229934}",30,17,18.98355739161217,"{0: 13, 1: 0, 2: 0, 3: 0, 4: 0}",1
74,False,"{'a': 0.2, 'e': 0.022467088258818435}",20,11,15.634230480085446,"{0: 9, 1: 0, 2: 0, 3: 0, 4: 0}",1
75,False,"{'a': 0.2, 'e': 0.02134373384587751}",30,6,33.944706505019404,"{0: 23, 1: 1, 2: 0, 3: 0, 4: 0}",1
76,False,"{'a': 0.2, 'e': 0.020276547153583634}",30,16,25.817922497313624,"{0: 14, 1: 0, 2: 0, 3: 0, 4: 0}",1
77,False,"{'a': 0.2, 'e': 0.01926271979590445}",20,13,11.16051409851268,"{0: 7, 1: 0, 2: 0, 3: 0, 4: 0}",1
78,False,"{'a': 0.2, 'e': 0.01829958380610923}",30,-5,16.074933027596852,"{0: 34, 1: 0, 2: 0, 3: 0, 4: 1}",0
79,False,"{'a': 0.2, 'e': 0.017384604615803767}",25,11,-15.007193914850998,"{0: 13, 1: 0, 2: 0, 3: 0, 4: 1}",1
80,False,"{'a': 0.2, 'e': 0.01651537438501358}",20,11,15.291917561953214,"{0: 9, 1: 0, 2: 0, 3: 0, 4: 0}",1
81,False,"{'a': 0.2, 'e': 0.0156896056657629}",25,1,-6.136833146187132,"{0: 23, 1: 0, 2: 0, 3: 0, 4: 1}",1
82,False,"{'a': 0.2, 'e': 0.014905125382474753}",30,10,-8.168626818876325,"{0: 19, 1: 0, 2: 0, 3: 0, 4: 1}",1
83,False,"{'a': 0.2, 'e': 0.014159869113351015}",25,-2,47.78958219551047,"{0: 27, 1: 0, 2: 0, 3: 0, 4: 0}",0
84,False,"{'a': 0.2, 'e': 0.013451875657683464}",20,14,10.098146125319616,"{0: 6, 1: 0, 2: 0, 3: 0, 4: 0}",1
85,False,"{'a': 0.2, 'e': 0.012779281874799289}",20,11,13.19188247759601,"{0: 9, 1: 0, 2: 0, 3: 0, 4: 0}",1
86,False,"{'a': 0.2, 'e': 0.012140317781059324}",20,-10,-4.1918626997329715,"{0: 28, 1: 1, 2: 0, 3: 0, 4: 1}",0
87,False,"{'a': 0.2, 'e': 0.011533301892006357}",30,8,44.303312203209565,"{0: 22, 1: 0, 2: 0, 3: 0, 4: 0}",1
88,False,"{'a': 0.2, 'e': 0.01095663679740604}",25,13,21.69393117938113,"{0: 12, 1: 0, 2: 0, 3: 0, 4: 0}",1
89,False,"{'a': 0.2, 'e': 0.010408804957535737}",30,-12,36.302298858750014,"{0: 39, 1: 1, 2: 2, 3: 0, 4: 0}",0
90,False,"{'a': 0.2, 'e': 0.00988836470965895}",25,11,-16.04154781634427,"{0: 13, 1: 0, 2: 0, 3: 0, 4: 1}",1
1,True,"{'a': 0, 'e': 0}",25,-7,57.52400457279634,"{0: 32, 1: 0, 2: 0, 3: 0, 4: 0}",0
2,True,"{'a': 0, 'e': 0}",30,10,27.453025997813455,"{0: 19, 1: 1, 2: 0, 3: 0, 4: 0}",1
