trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
1,False,"{'a': 0.5, 'e': 1.0}",25,1,-60.6011935130587,"{0: 18, 1: 0, 2: 4, 3: 2, 4: 0}",1
2,False,"{'a': 0.5, 'e': 0.95}",30,0,-51.316243133218755,"{0: 22, 1: 2, 2: 6, 3: 0, 4: 0}",0
3,False,"{'a': 0.5, 'e': 0.9}",25,0,-160.3529810603129,"{0: 15, 1: 3, 2: 4, 3: 0, 4: 3}",0
4,False,"{'a': 0.5, 'e': 0.85}",25,0,-164.4223802164829,"{0: 11, 1: 4, 2: 8, 3: 0, 4: 2}",0
5,False,"{'a': 0.5, 'e': 0.8}",20,0,-108.23801175468725,"{0: 10, 1: 5, 2: 3, 3: 1, 4: 1}",0
6,False,"{'a': 0.5, 'e': 0.75}",25,0,-73.83648837808383,"{0: 18, 1: 2, 2: 4, 3: 0, 4: 1}",0
7,False,"{'a': 0.5, 'e': 0.7}",20,0,-212.49548584400128,"{0: 10, 1: 0, 2: 6, 3: 0, 4: 4}",0
8,False,"{'a': 0.5, 'e': 0.65}",35,0,-207.66284965708098,"{0: 19, 1: 5, 2: 8, 3: 0, 4: 3}",0
9,False,"{'a': 0.5, 'e': 0.6}",20,0,-18.48085180392597,"{0: 16, 1: 1, 2: 3, 3: 0, 4: 0}",1
10,False,"{'a': 0.5, 'e': 0.55}",25,2,-109.80479624477825,"{0: 12, 1: 3, 2: 7, 3: 0, 4: 1}",1
11,False,"{'a': 0.5, 'e': 0.5}",30,0,-179.20074006886358,"{0: 17, 1: 4, 2: 6, 3: 0, 4: 3}",0
12,False,"{'a': 0.5, 'e': 0.44999999999999996}",25,15,-72.14996988888538,"{0: 5, 1: 0, 2: 4, 3: 0, 4: 1}",1
13,False,"{'a': 0.5, 'e': 0.4}",25,0,-202.84592161748736,"{0: 12, 1: 3, 2: 6, 3: 1, 4: 3}",0
14,False,"{'a': 0.5, 'e': 0.35}",25,0,-77.08358981055275,"{0: 19, 1: 0, 2: 4, 3: 1, 4: 1}",0
15,False,"{'a': 0.5, 'e': 0.30000000000000004}",25,2,-21.098767885414773,"{0: 17, 1: 3, 2: 3, 3: 0, 4: 0}",1
16,False,"{'a': 0.5, 'e': 0.25}",20,3,-29.97107191902331,"{0: 10, 1: 5, 2: 2, 3: 0, 4: 0}",1
17,False,"{'a': 0.5, 'e': 0.19999999999999996}",20,15,3.2077435698364227,"{0: 4, 1: 1, 2: 0, 3: 0, 4: 0}",1
18,False,"{'a': 0.5, 'e': 0.15000000000000002}",20,0,-5.311123296895354,"{0: 16, 1: 3, 2: 1, 3: 0, 4: 0}",0
19,False,"{'a': 0.5, 'e': 0.09999999999999998}",25,0,-97.86087542694433,"{0: 14, 1: 5, 2: 5, 3: 0, 4: 1}",0
20,False,"{'a': 0.5, 'e': 0.050000000000000044}",20,0,-21.82869203160878,"{0: 15, 1: 2, 2: 3, 3: 0, 4: 0}",0
1,True,"{'a': 0, 'e': 0}",30,0,-148.10371660898664,"{0: 19, 1: 4, 2: 3, 3: 2, 4: 2}",0
2,True,"{'a': 0, 'e': 0}",20,0,-17.67197473742883,"{0: 16, 1: 1, 2: 3, 3: 0, 4: 0}",0
3,True,"{'a': 0, 'e': 0}",35,0,-289.10741231935134,"{0: 19, 1: 2, 2: 7, 3: 2, 4: 5}",0
4,True,"{'a': 0, 'e': 0}",20,7,11.487215770851149,"{0: 12, 1: 1, 2: 0, 3: 0, 4: 0}",1
5,True,"{'a': 0, 'e': 0}",25,0,-133.29984218682017,"{0: 15, 1: 3, 2: 5, 3: 0, 4: 2}",0
6,True,"{'a': 0, 'e': 0}",25,0,-70.30270556666026,"{0: 18, 1: 1, 2: 5, 3: 0, 4: 1}",0
7,True,"{'a': 0, 'e': 0}",20,14,-13.372052639575728,"{0: 4, 1: 0, 2: 2, 3: 0, 4: 0}",1
8,True,"{'a': 0, 'e': 0}",20,12,-11.770683314152242,"{0: 5, 1: 3, 2: 0, 3: 0, 4: 0}",1
9,True,"{'a': 0, 'e': 0}",30,0,-61.02070018486938,"{0: 20, 1: 3, 2: 7, 3: 0, 4: 0}",0
10,True,"{'a': 0, 'e': 0}",30,0,-144.7939492628764,"{0: 19, 1: 4, 2: 4, 3: 1, 4: 2}",0
